AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,665720,NBNSYS0100046733,8
ANGLIAN - CENTRAL,665720,NBNSYS0100046734,63
ANGLIAN - CENTRAL,665720,NHMSYS0020953986,6
ANGLIAN - CENTRAL,665720,NBNSYS0100046740,1
ANGLIAN - CENTRAL,665720,NBNSYS0100046929,1
ANGLIAN - CENTRAL,665720,NBNSYS0100049212,1
ANGLIAN - CENTRAL,665720,NBNSYS0100049239,3
ANGLIAN - CENTRAL,665720,NBNSYS0100049293,12
ANGLIAN - CENTRAL,665720,NBNSYS0100049331,21
ANGLIAN - CENTRAL,665720,NBNSYS0100049481,13
ANGLIAN - CENTRAL,665720,NBNSYS0100049740,2
ANGLIAN - CENTRAL,665720,NBNSYS0100049744,3
ANGLIAN - CENTRAL,665720,NBNSYS0100049753,1
ANGLIAN - CENTRAL,665720,NBNSYS0100049770,9
ANGLIAN - CENTRAL,665720,NBNSYS0100049794,5
ANGLIAN - CENTRAL,665720,NBNSYS0100049814,1
ANGLIAN - CENTRAL,665720,NBNSYS0100049828,3
ANGLIAN - CENTRAL,665720,NBNSYS0100051130,1
ANGLIAN - CENTRAL,665720,NBNSYS0100051134,18
ANGLIAN - CENTRAL,665720,NBNSYS0100051971,2
ANGLIAN - CENTRAL,665720,NBNSYS0100052065,3
ANGLIAN - CENTRAL,665720,NBNSYS0100053503,1
ANGLIAN - CENTRAL,665720,NBNSYS0100053515,100
ANGLIAN - CENTRAL,665720,NBNSYS0100053652,3
ANGLIAN - CENTRAL,665720,NBNSYS0100054311,1
ANGLIAN - CENTRAL,660643,NBNSYS0100041571,11
ANGLIAN - CENTRAL,660643,NHMSYS0020475041,19
ANGLIAN - CENTRAL,660643,NHMSYS0020063117,2
ANGLIAN - CENTRAL,660643,NBNSYS0100041921,3
ANGLIAN - CENTRAL,660643,NBNSYS0100041935,66
ANGLIAN - CENTRAL,660643,NBNSYS0100042879,3
ANGLIAN - CENTRAL,660643,NBNSYS0100044581,4
ANGLIAN - CENTRAL,660643,NBNSYS0100044842,1
ANGLIAN - CENTRAL,660643,NBNSYS0100046698,1
ANGLIAN - CENTRAL,660643,NBNSYS0100046734,20
ANGLIAN - CENTRAL,660643,NBNSYS0100048616,1
ANGLIAN - CENTRAL,660643,NBNSYS0100049239,6
ANGLIAN - CENTRAL,660643,NBNSYS0100049293,18
ANGLIAN - CENTRAL,660643,NBNSYS0100049331,53
ANGLIAN - CENTRAL,660643,NBNSYS0100049459,7
ANGLIAN - CENTRAL,660643,NBNSYS0100049483,1
ANGLIAN - CENTRAL,660643,NBNSYS0100049698,3
ANGLIAN - CENTRAL,660643,NBNSYS0100049740,10
ANGLIAN - CENTRAL,660643,NBNSYS0100049777,14
ANGLIAN - CENTRAL,660643,NBNSYS0100049794,5
ANGLIAN - CENTRAL,660643,NBNSYS0100049811,4
ANGLIAN - CENTRAL,660643,NBNSYS0100049814,1
ANGLIAN - CENTRAL,660643,NBNSYS0100049828,1
ANGLIAN - CENTRAL,660643,NBNSYS0100049843,5
